week,temperature,humidity,feels_like,pressure,clouds,wind_speed,wind_deg,sunrise_seconds,sunset_seconds,weather_description,sunrise,sunset,Semana
68,24.29,81.14285714285714,25.114285714285717,1014.2857142857143,48.57142857142857,3.748571428571428,131.42857142857142,22197.285714285714,65901.71428571429,moderate rain,06:09:57,18:18:21,2024-03-17
69,19.635714285714283,88.0,19.95285714285714,1019.0,70.0,3.75,140.0,22354.0,65481.57142857143,broken clouds,06:12:34,18:11:21,2024-03-24
70,21.767142857142858,78.42857142857143,22.047142857142855,1015.8571428571429,30.0,2.8657142857142857,132.85714285714286,22508.85714285714,65066.857142857145,clear sky,06:15:08,18:04:26,2024-03-31
71,21.087142857142858,86.42857142857143,21.50857142857143,1017.4285714285714,73.57142857142857,3.6,127.14285714285714,22666.571428571428,64666.42857142857,broken clouds,06:17:46,17:57:46,2024-04-07
72,20.71857142857143,83.14285714285714,21.017142857142858,1018.2857142857143,67.85714285714286,3.8971428571428572,142.85714285714286,22831.571428571428,64290.142857142855,broken clouds,06:20:31,17:51:30,2024-04-14
73,21.037142857142857,78.42857142857143,21.244285714285716,1017.7142857142857,13.571428571428571,2.6457142857142855,131.42857142857142,23007.14285714286,63945.57142857143,clear sky,06:23:27,17:45:45,2024-04-21
74,24.167142857142856,66.85714285714286,24.332857142857144,1014.4285714285714,0.0,2.498571428571428,161.42857142857142,23193.428571428572,63640.0,clear sky,06:26:33,17:40:40,2024-04-28
75,23.354285714285712,68.71428571428571,23.541428571428572,1017.1428571428571,16.571428571428573,2.6271428571428572,131.42857142857142,23388.571428571428,63379.28571428572,clear sky,06:29:48,17:36:19,2024-05-05
76,20.81714285714286,68.28571428571429,20.73857142857143,1016.1428571428571,25.0,2.2785714285714285,141.42857142857142,23589.571428571428,63168.0,clear sky,06:33:09,17:32:48,2024-05-12
77,20.18857142857143,78.0,20.298571428571428,1019.1428571428571,25.0,3.2342857142857144,144.28571428571428,23790.428571428572,63008.42857142857,clear sky,06:36:30,17:30:08,2024-05-19
78,14.827142857142858,84.85714285714286,14.581428571428571,1023.0,60.714285714285715,4.2628571428571425,144.28571428571428,23984.0,62902.71428571428,broken clouds,06:39:44,17:28:22,2024-05-26
79,17.487142857142857,78.28571428571429,17.335714285714285,1023.5714285714286,10.714285714285714,1.78,82.42857142857143,24161.85714285714,62850.42857142857,clear sky,06:42:41,17:27:30,2024-06-02
80,18.67142857142857,74.57142857142857,18.541428571428572,1020.1428571428571,2.0,1.2485714285714287,70.0,24315.14285714286,62850.0,clear sky,06:45:15,17:27:30,2024-06-09
81,19.562857142857144,61.0,19.16714285714286,1018.5714285714286,2.4285714285714284,1.91,115.71428571428571,24435.14285714286,62897.28571428572,clear sky,06:47:15,17:28:17,2024-06-16
82,20.367142857142856,67.85714285714286,20.231428571428573,1016.4285714285714,13.571428571428571,2.4514285714285715,182.57142857142858,24514.285714285714,62987.42857142857,clear sky,06:48:34,17:29:47,2024-06-23
83,17.41,73.14285714285714,17.117142857142856,1020.0,21.428571428571427,1.6885714285714286,92.85714285714286,24546.14285714286,63113.0,clear sky,06:49:06,17:31:53,2024-06-30
84,15.554285714285713,90.14285714285714,15.52,1020.7142857142857,56.42857142857143,3.8214285714285716,158.57142857142858,24526.285714285714,63266.0,mist,06:48:46,17:34:26,2024-07-07
85,15.384285714285713,84.71428571428571,15.19,1025.0,52.142857142857146,2.2842857142857143,90.42857142857143,24451.714285714286,63437.857142857145,clear sky,06:47:31,17:37:17,2024-07-14
86,16.857142857142858,67.14285714285714,16.352857142857143,1023.2857142857143,12.285714285714286,1.837142857142857,104.28571428571429,24321.0,63620.0,clear sky,06:45:21,17:40:20,2024-07-21
87,17.49142857142857,76.71428571428571,17.297142857142855,1023.2857142857143,41.42857142857143,3.5185714285714282,157.14285714285714,24135.714285714286,63804.71428571428,clear sky,06:42:15,17:43:24,2024-07-28
88,21.610000000000003,56.142857142857146,21.292857142857144,1018.1428571428571,14.285714285714286,2.9457142857142853,116.71428571428571,23897.714285714286,63985.57142857143,clear sky,06:38:17,17:46:25,2024-08-04
89,14.058571428571428,72.0,13.12142857142857,1021.7142857142857,21.428571428571427,2.2057142857142855,134.28571428571428,23610.428571428572,64157.57142857143,clear sky,06:33:30,17:49:17,2024-08-11
90,21.854285714285712,57.0,21.592857142857145,1017.8571428571429,21.428571428571427,2.7199999999999998,121.42857142857143,23279.428571428572,64318.28571428572,clear sky,06:27:59,17:51:58,2024-08-18
91,14.055714285714286,76.57142857142857,13.254285714285714,1025.0,55.285714285714285,2.792857142857143,100.0,22910.285714285714,64466.57142857143,clear sky,06:21:50,17:54:26,2024-08-25
92,20.717142857142857,62.42857142857143,20.532857142857143,1018.4285714285714,35.714285714285715,3.2357142857142853,157.14285714285714,22510.85714285714,64604.57142857143,clear sky,06:15:10,17:56:44,2024-09-01
93,26.437142857142856,40.42857142857143,26.132857142857144,1016.1428571428571,16.714285714285715,1.6157142857142859,157.14285714285714,22089.0,64734.857142857145,clear sky,06:08:09,17:58:54,2024-09-08
94,17.638571428571428,84.42857142857143,17.664285714285715,1020.4285714285714,75.0,4.6499999999999995,154.71428571428572,21654.14285714286,64862.42857142857,light rain,06:00:54,18:01:02,2024-09-15
95,23.23,60.714285714285715,23.201428571428572,1015.0,21.428571428571427,2.865714285714286,131.42857142857142,21215.85714285714,64993.142857142855,clear sky,05:53:35,18:03:13,2024-09-22
96,19.87142857142857,73.71428571428571,19.73857142857143,1018.4285714285714,64.28571428571429,4.777142857142857,164.28571428571428,20784.428571428572,65133.0,broken clouds,05:46:24,18:05:33,2024-09-29
97,17.82857142857143,86.71428571428571,17.93,1016.7142857142857,66.42857142857143,3.5285714285714285,154.28571428571428,20370.14285714286,65288.142857142855,broken clouds,05:39:30,18:08:08,2024-10-06
98,18.3,84.57142857142857,18.39428571428571,1019.8571428571429,73.57142857142857,4.321428571428571,152.28571428571428,19983.14285714286,65463.71428571428,broken clouds,05:33:03,18:11:03,2024-10-13
99,20.30857142857143,87.0,20.665714285714284,1014.7142857142857,48.57142857142857,3.1614285714285715,182.85714285714286,19632.85714285714,65664.14285714286,clear sky,05:27:12,18:14:24,2024-10-20
100,18.60571428571429,84.42857142857143,18.728571428571428,1018.2857142857143,67.85714285714286,4.777142857142857,118.57142857142857,19328.14285714286,65890.28571428571,broken clouds,05:22:08,18:18:10,2024-10-27
101,20.40285714285714,90.71428571428571,20.864285714285717,1014.1428571428571,68.57142857142857,3.011428571428571,151.42857142857142,19076.714285714286,66142.28571428571,light rain,05:17:56,18:22:22,2024-11-03
102,17.888571428571428,82.71428571428571,17.89142857142857,1015.2857142857143,78.57142857142857,3.8957142857142855,121.42857142857143,18885.428571428572,66416.57142857143,overcast clouds,05:14:45,18:26:56,2024-11-10
103,20.25142857142857,81.85714285714286,20.46857142857143,1015.5714285714286,62.857142857142854,4.3342857142857145,117.0,18758.571428571428,66706.57142857143,broken clouds,05:12:38,18:31:46,2024-11-17
104,21.93285714285714,71.0,22.064285714285713,1013.7142857142857,32.142857142857146,3.3057142857142856,217.14285714285714,18700.0,67003.71428571429,clear sky,05:11:40,18:36:43,2024-11-24
105,21.91,87.5,22.44,1012.5,69.25,3.3975,183.5,18700.75,67235.25,broken clouds,05:11:40,18:40:35,2024-12-01
