date,temperature,humidity,feels_like,pressure,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather_description,sunrise,sunset
2021-05-15,289.84,77,289.58,1021,285.79,,75,10000.0,4.12,140,broken clouds,2021-05-14 09:33:03,2021-05-14 20:32:52
2021-05-16,290.75,82,290.71,1020,287.64,,75,7000.0,3.1,150,broken clouds,2021-05-15 09:33:32,2021-05-15 20:32:26
2021-05-17,290.4,83,290.35,1020,287.49,,75,8000.0,2.57,130,broken clouds,2021-05-16 09:34:01,2021-05-16 20:32:00
2021-05-18,293.34,70,293.24,1018,287.7,,75,10000.0,1.54,220,broken clouds,2021-05-17 09:34:29,2021-05-17 20:31:36
2021-05-19,289.38,83,289.23,1020,286.49,,75,7000.0,3.09,90,broken clouds,2021-05-18 09:34:58,2021-05-18 20:31:13
2021-05-20,288.82,82,288.58,1017,285.76,,0,10000.0,2.06,190,clear sky,2021-05-19 09:35:27,2021-05-19 20:30:51
2021-05-21,289.67,87,289.65,1016,287.5,,100,5000.0,3.13,209,mist,2021-05-20 09:35:56,2021-05-20 20:30:30
2021-05-22,295.56,46,295.06,1014,283.38,,0,10000.0,2.57,20,clear sky,2021-05-21 09:36:24,2021-05-21 20:30:11
2021-05-23,290.83,79,290.72,1015,287.15,,0,10000.0,5.66,340,clear sky,2021-05-22 09:36:52,2021-05-22 20:29:52
2021-05-24,292.68,81,292.8,1015,289.33,,75,10000.0,5.66,280,broken clouds,2021-05-23 09:37:21,2021-05-23 20:29:34
2021-05-25,286.59,61,285.58,1019,279.23,,0,10000.0,1.03,100,clear sky,2021-05-24 09:37:49,2021-05-24 20:29:18
2021-05-26,287.96,77,287.51,1021,283.97,,0,10000.0,1.54,140,clear sky,2021-05-25 09:38:16,2021-05-25 20:29:03
2021-05-27,288.72,86,288.58,1020,286.39,,0,10000.0,1.54,100,clear sky,2021-05-26 09:38:44,2021-05-26 20:28:48
2021-05-28,292.31,73,292.19,1016,287.36,,0,10000.0,2.68,60,clear sky,2021-05-27 09:39:11,2021-05-27 20:28:35
2021-05-29,298.76,48,298.63,1010,286.94,,0,10000.0,4.63,350,clear sky,2021-05-28 09:39:38,2021-05-28 20:28:23
2021-05-30,295.19,74,295.38,1015,290.34,,0,10000.0,2.06,320,clear sky,2021-05-29 09:40:05,2021-05-29 20:28:12
2021-05-31,289.98,93,290.15,1020,288.84,,0,10000.0,3.58,70,light rain,2021-05-30 09:40:31,2021-05-30 20:28:02
2021-06-01,289.4,85,289.3,1020,286.88,,20,10000.0,1.54,140,few clouds,2021-05-31 09:40:57,2021-05-31 20:27:54
2021-06-02,289.36,89,289.36,1016,287.55,,40,5000.0,2.06,110,mist,2021-06-01 09:41:23,2021-06-01 20:27:46
2021-06-03,291.25,70,290.94,1018,285.7,,0,10000.0,1.03,20,clear sky,2021-06-02 09:41:48,2021-06-02 20:27:39
2021-06-04,291.31,83,291.35,1022,288.38,,75,8000.0,3.6,160,broken clouds,2021-06-03 09:42:13,2021-06-03 20:27:34
2021-06-05,293.56,76,293.64,1021,289.19,,0,10000.0,2.57,120,mist,2021-06-04 09:42:37,2021-06-04 20:27:29
2021-06-06,294.67,62,294.5,1019,287.09,,0,10000.0,1.54,70,clear sky,2021-06-05 09:43:01,2021-06-05 20:27:26
2021-06-07,292.68,86,292.93,1019,290.28,,75,9000.0,3.09,150,broken clouds,2021-06-06 09:43:24,2021-06-06 20:27:24
2021-06-08,290.65,86,290.7,1020,288.28,,75,6000.0,3.09,180,broken clouds,2021-06-07 09:43:47,2021-06-07 20:27:22
2021-06-09,289.97,91,290.08,1020,288.49,,20,10000.0,3.09,190,few clouds,2021-06-08 09:44:09,2021-06-08 20:27:22
2021-06-10,290.68,89,290.81,1020,288.85,,40,8000.0,3.6,150,scattered clouds,2021-06-09 09:44:31,2021-06-09 20:27:23
2021-06-11,290.32,94,290.55,1018,289.35,,0,10000.0,2.57,10,light rain,2021-06-10 09:44:51,2021-06-10 20:27:24
2021-06-12,288.63,87,288.51,1020,286.48,,75,10000.0,2.57,140,broken clouds,2021-06-11 09:45:12,2021-06-11 20:27:27
2021-06-13,286.83,85,286.47,1022,284.36,,20,10000.0,3.09,160,few clouds,2021-06-12 09:45:31,2021-06-12 20:27:31
2021-06-14,285.95,79,285.35,1024,282.4,,100,10000.0,4.12,150,overcast clouds,2021-06-13 09:45:50,2021-06-13 20:27:36
2021-06-15,287.71,87,287.49,1021,285.57,,100,8000.0,3.09,150,overcast clouds,2021-06-14 09:46:08,2021-06-14 20:27:41
2021-06-16,288.92,86,288.8,1019,286.59,,75,7000.0,3.6,190,broken clouds,2021-06-15 09:46:26,2021-06-15 20:27:48
2021-06-17,287.68,83,287.36,1021,284.83,,75,10000.0,4.12,180,broken clouds,2021-06-16 09:46:42,2021-06-16 20:27:55
2021-06-18,286.66,83,286.23,1023,283.83,,75,10000.0,3.6,170,broken clouds,2021-06-17 09:46:58,2021-06-17 20:28:04
